bin_centers,left_p_high,right_p_high
-0.49,0.2785515320334262,0.2785515320334262
-0.47,0.2785515320334262,0.0
-0.45,0.1392757660167131,0.0
-0.43,0.1392757660167131,0.0
-0.41,0.6963788300835655,0.1392757660167131
-0.39,0.0,0.0
-0.37,0.0,0.2785515320334262
-0.35,0.1392757660167131,0.0
-0.33,0.4178272980501393,0.0
-0.31,0.4178272980501393,0.0
-0.29,0.1392757660167131,0.0
-0.27,0.0,0.0
-0.25,0.1392757660167131,0.1392757660167131
-0.23,0.5571030640668524,0.1392757660167131
-0.21,0.1392757660167131,0.0
-0.19,0.1392757660167131,0.0
-0.17,0.4178272980501393,0.8356545961002786
-0.15,0.1392757660167131,0.2785515320334262
-0.13,0.2785515320334262,0.2785515320334262
-0.11,0.4178272980501393,0.2785515320334262
-0.09,0.1392757660167131,0.4178272980501393
-0.07,0.5571030640668524,0.0
-0.05,0.6963788300835655,0.0
-0.03,1.1142061281337048,0.5571030640668524
-0.01,0.1392757660167131,0.0
0.01,0.5571030640668524,0.0
0.03,0.2785515320334262,0.2785515320334262
0.05,0.0,0.1392757660167131
0.07,0.2785515320334262,0.1392757660167131
0.09,0.1392757660167131,0.2785515320334262
0.11,0.2785515320334262,0.1392757660167131
0.13,0.4178272980501393,0.1392757660167131
0.15,0.1392757660167131,0.4178272980501393
0.17,0.2785515320334262,0.0
0.19,0.1392757660167131,0.4178272980501393
0.21,0.0,0.1392757660167131
0.23,0.1392757660167131,0.0
0.25,0.2785515320334262,0.2785515320334262
0.27,0.1392757660167131,0.2785515320334262
0.29,0.2785515320334262,0.2785515320334262
0.31,0.1392757660167131,0.1392757660167131
0.33,0.5571030640668524,0.1392757660167131
0.35,0.1392757660167131,0.0
0.37,0.4178272980501393,0.2785515320334262
0.39,0.1392757660167131,0.1392757660167131
0.41,0.2785515320334262,0.0
0.43,0.1392757660167131,0.0
0.45,0.5571030640668524,0.1392757660167131
0.47,0.5571030640668524,0.2785515320334262
0.49,0.5571030640668524,0.2785515320334262
0.51,0.1392757660167131,0.6963788300835655
0.53,0.6963788300835655,0.4178272980501393
0.55,0.6963788300835655,0.1392757660167131
0.57,0.6963788300835655,0.1392757660167131
0.59,0.5571030640668524,0.2785515320334262
0.61,0.4178272980501393,0.4178272980501393
0.63,0.4178272980501393,0.6963788300835655
0.65,0.9749303621169917,0.1392757660167131
0.67,0.9749303621169917,0.1392757660167131
0.69,0.9749303621169917,0.2785515320334262
0.71,0.5571030640668524,0.4178272980501393
0.73,0.5571030640668524,0.0
0.75,0.5571030640668524,0.0
0.77,0.2785515320334262,0.0
0.79,0.5571030640668524,0.4178272980501393
0.81,0.6963788300835655,0.0
0.83,0.4178272980501393,0.0
0.85,0.2785515320334262,0.1392757660167131
0.87,0.4178272980501393,0.1392757660167131
0.89,0.4178272980501393,0.4178272980501393
0.91,0.1392757660167131,0.5571030640668524
0.93,0.2785515320334262,0.2785515320334262
0.95,0.5571030640668524,0.0
0.97,0.1392757660167131,0.1392757660167131
0.99,0.2785515320334262,0.1392757660167131
1.01,0.6963788300835655,0.5571030640668524
1.03,0.1392757660167131,0.2785515320334262
1.05,0.6963788300835655,0.2785515320334262
1.07,0.2785515320334262,0.2785515320334262
1.09,0.4178272980501393,0.8356545961002786
1.11,0.2785515320334262,0.6963788300835655
1.13,0.8356545961002786,0.5571030640668524
1.15,0.2785515320334262,0.4178272980501393
1.17,0.6963788300835655,0.2785515320334262
1.19,1.1142061281337048,0.1392757660167131
1.21,0.5571030640668524,0.1392757660167131
1.23,0.4178272980501393,0.1392757660167131
1.25,0.1392757660167131,0.5571030640668524
1.27,0.5571030640668524,0.4178272980501393
1.29,0.5571030640668524,0.2785515320334262
1.31,0.2785515320334262,0.4178272980501393
1.33,0.4178272980501393,0.2785515320334262
1.35,0.5571030640668524,0.0
1.37,0.8356545961002786,0.5571030640668524
1.39,0.5571030640668524,0.2785515320334262
1.41,0.2785515320334262,0.0
1.43,0.4178272980501393,0.1392757660167131
1.45,0.1392757660167131,0.4178272980501393
1.47,0.9749303621169917,0.1392757660167131
