,trial_index,interconnectivity_strength
0,1,1.0
1,2,1.0
2,3,1.0
3,4,1.0
4,5,1.0
5,6,1.0
6,7,1.0
7,8,1.0
8,9,1.0
9,10,1.0
10,11,1.0
11,12,1.0
12,13,1.0
13,14,1.0
14,15,1.0
15,16,1.0
16,17,0.0
17,18,0.0
18,19,0.0
19,20,0.0
20,21,0.0
21,22,0.0
22,23,0.0
23,24,0.0
24,25,0.0
25,26,0.0
26,27,0.0
27,28,0.0
28,29,0.0
29,30,0.0
30,31,0.0
31,32,0.0
32,33,0.0
33,34,0.0
34,35,0.0
35,36,0.0
36,37,0.0
37,38,0.0
38,39,0.0
39,40,0.0
40,41,0.0
41,42,0.0
42,43,0.0
43,44,0.0
44,45,0.0
45,46,0.0
46,47,0.0
47,48,0.0
48,49,0.0
49,50,0.0
50,51,0.0
51,52,0.0
52,53,0.0
53,54,0.0
54,55,0.0
55,56,0.0
56,57,0.0
57,58,0.0
58,59,0.0
59,60,0.0
60,61,0.0
61,62,0.0
62,63,0.0
63,64,0.0
64,65,0.0
65,66,0.0
66,67,0.0
67,68,0.0
68,69,0.0
69,70,0.0
70,71,0.0
71,72,0.0
72,73,0.0
73,74,0.0
74,75,0.0
75,76,0.0
76,77,0.0
77,78,0.0
78,79,217.61766289501327
79,80,216.6764864929369
80,81,225.40626726280902
81,82,223.90626737800642
82,83,238.9000185365396
83,84,240.300018428932
84,85,236.7333754326858
85,86,255.21430563857376
86,87,236.73335203890787
87,88,220.53128970775356
88,89,224.78126731062275
89,90,240.1333517750115
90,91,330.68184311232096
91,92,322.22729831024236
92,93,318.6364218616535
93,94,321.59093472437615
94,95,328.54547963767055
95,96,289.333387197165
96,97,312.2272991274762
97,98,255.1250271311537
98,99,282.54548371102595
99,100,0.0
100,101,0.0
101,102,0.0
102,103,0.0
103,104,0.0
104,105,0.0
105,106,0.0
106,107,0.0
107,108,0.0
108,109,0.0
109,110,0.0
110,111,0.0
111,112,0.0
112,113,0.0
113,114,0.0
114,115,0.0
115,116,0.0
116,117,0.0
117,118,0.0
118,119,0.0
119,120,0.0
120,121,0.0
121,122,0.0
122,123,0.0
123,124,0.0
124,125,0.0
125,126,0.0
126,127,0.0
127,128,0.0
128,129,0.0
129,130,0.0
130,131,0.0
131,132,0.0
132,133,0.0
133,134,0.0
134,135,0.0
135,136,0.0
136,137,0.0
137,138,0.0
138,139,0.0
139,140,0.0
140,141,0.0
141,142,0.0
142,143,0.0
143,144,0.0
144,145,256.9622346240167
145,146,233.50066036500374
146,147,88.12842897842935
147,148,51.859493802837584
148,149,53.755752710885695
149,150,53.78538223348172
150,151,53.71133768352342
151,152,50.57165209616496
152,153,55.83866636013023
153,154,45.27969142462042
154,155,45.13683486723775
155,156,31.375155657531653
156,157,29.4468073479535
157,158,57.00762715251383
158,159,56.80250002098697
159,160,56.05525125029838
