session,cell,background_firing_pearson_r,background_firing_p_values,response_firing_pearson_r,response_firing_p_values
AKED0620210804,pfc_45,-0.019110472075449404,0.722016741217776,0.0947954496234867,0.0769679372649516
AKED0620210804,pfc_10,0.09818626692239729,0.06693362668479644,0.2066984072625638,0.00010037750878610575
AKED0620210804,pfc_57,-0.12244000861033767,0.022150557215027733,-0.07797575121911114,0.14603078718524456
AKED0620210804,pfc_74,-0.07657958486109932,0.1534100988680492,-0.24321182600510877,4.29704624023322e-06
AKED0620210804,pfc_17,-0.18052211846688365,0.0007035029964552318,-0.17007078602022624,0.0014274150864472207
AKED0620210804,pfc_28,0.045778195990284376,0.39388881137121995,-0.0239125357419838,0.6561867561945518
AKED0620210804,pfc_52,-0.06879729196720279,0.1997906750633725,-0.03289632209410272,0.5401970410482362
AKED0620210804,pfc_37,-0.014293015718782217,0.790184357692007,-0.12059474984498256,0.02425650412074512
AKED0620210804,pfc_38,-0.004340526219929535,0.9356032400580558,0.06771717301265451,0.20695897004361222
AKED0620210804,pfc_31,0.016254016354123914,0.7622094197017802,0.022987520568276763,0.6686815361726592
AKED0620210804,pfc_71,0.027732841872458874,0.6056219429031717,0.05139060628333924,0.33844404500753256
AKED0620210804,pfc_33,0.08487236408010432,0.11348638527573865,0.08400188117666796,0.11724929875045072
AKED0620210804,pfc_18,0.06275175717241258,0.24230432706426827,0.0634344565613307,0.2372085897559827
AKED0620210804,pfc_61,0.2926954031267387,2.5349251122326356e-08,0.3109280476029274,2.9288522874634423e-09
AKED0620210804,pfc_70,-0.0037521874078164227,0.9443167002375744,0.22713023600805948,1.83529589875361e-05
AKED0620210804,pfc_76,-0.05632487907334181,0.29404292433794377,0.005700767018401326,0.9154888052412088
AKED0620210804,pfc_84,0.09786904989170098,0.06782440811656244,0.22771443937536412,1.744118951761076e-05
AKED0620210804,pfc_4,0.07639789511645655,0.15439080400532937,0.06645808834788798,0.2155474036751002
AKED0620210804,pfc_8,0.07016726541727822,0.19096072020661042,0.16703477026235933,0.0017403479915604472
AKED0620210804,pfc_54,0.01734066141694504,0.7468373466815321,-0.03283255759513325,0.5409830232342117
AKED0620210804,pfc_88,-0.022901147892290807,0.6698529733450397,-0.009798515993096137,0.8552695691471829
AKED0620210804,pfc_75,0.18347492972217216,0.0005719399958173286,0.25016935254170714,2.220547302728813e-06
AKED0620210804,pfc_5,-0.022185105932619638,0.6795949347867911,-0.012351128129348781,0.8181546384147833
AKED0620210804,pfc_24,-0.029044815738712308,0.5886665284564002,0.0051963424199880405,0.9229423446514369
AKED0620210804,pfc_65,-0.11431611122655772,0.03276566928919605,-0.1229391870418355,0.02160881454817119
AKED0620210804,pfc_66,-0.05805483869330086,0.27944123682629074,-0.19801970890529613,0.0001968903878169408
AKED0620210804,pfc_82,0.15875837025599288,0.002938540745064938,0.23373946699344975,1.023176777293743e-05
AKED0620210804,pfc_73,-0.05746072884246355,0.28439944752584534,0.010907017706282596,0.8391077219437479
AKED0620210804,pfc_44,0.03325052433135787,0.5358414096375281,-0.04145210478763188,0.4401482535415729
AKED0620210804,pfc_32,0.16128624874710273,0.002510478235421725,0.1800839003639366,0.00072525893205505
AKED0620210804,pfc_41,-0.04495412912804697,0.40246730191382996,-0.0977363889829001,0.06819980303131658
AKED0620210804,pfc_81,0.16977158368122347,0.0014557851975943125,0.16949591566033007,0.0014823808360886592
AKED0620210804,pfc_49,-0.0022528943759061062,0.9665492386711396,0.010176154671733455,0.849756486188843
AKED0620210804,pfc_72,0.004055471235595682,0.9398240886617028,0.1953813422204086,0.00024029811970802828
AKED0620210804,pfc_87,-0.012433452294179921,0.8169639076254467,-0.04111345099961882,0.44389592962761915
AKED0620210804,pfc_34,-0.12840716502149044,0.01638692441687031,-0.15316264605051053,0.004130890059332068
AKED0620210804,pfc_78,-0.13559317148384323,0.011221548819653643,-0.16095830750461254,0.002562604943400943
AKED0620210804,pfc_79,0.01873138682099509,0.7273097575751715,-0.021135797846372765,0.6939674334232022
AKED0620210804,pfc_15,0.06970100844409154,0.193933223306322,-0.0058170500987102785,0.9137715939895068
AKED0620210804,pfc_1,0.007209823307701713,0.8932371940009965,0.01352643101718071,0.8011960099427962
AKED0620210804,pfc_3,0.07780052400513897,0.14694180772926504,0.11464463748544411,0.03226442934709997
AKED0620210804,pfc_11,-0.17811433236089708,0.000830940953009394,-0.27181655448142167,2.507310840324898e-07
AKED0620210804,pfc_58,0.15537914693152163,0.0036142687738184814,0.20828535305476692,8.847165227344867e-05
AKED0620210804,pfc_9,0.0963017294987367,0.0723691743179453,0.14403190227219634,0.007035663066702201
AKED0620210804,pfc_35,0.02595895967525337,0.6288862663204511,0.03013711655491355,0.5747188461040327
AKED0620210804,pfc_21,0.08035283357953336,0.13409354834097512,-0.04294829262879234,0.42380873139221664
AKED0620210804,pfc_68,0.012536133646347598,0.8154793215457923,0.13732282386557987,0.010217596370559452
AKED0620210804,pfc_86,-0.1923469875043578,0.0003012153921954228,-0.17630435249875376,0.0009404262394078246
