leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.05,0.85,-1.0,0.0,28.3733,
0.05,0.85,,,32.38145,
0.05,0.85,,,40.48725,
0.05,0.85,1.0,1.0,48.58985,53.43765
0.05,0.85,,,55.81415,
0.05,0.85,,,64.18455,
0.05,0.85,,,72.28655,
0.05,0.85,-1.0,0.0,81.68115,
0.05,0.85,1.0,0.0,87.79315,
0.05,0.85,,,93.5485,
0.05,0.85,,,101.65205,
0.05,0.85,,,109.75305,
0.05,0.85,,,117.8559,
0.05,0.85,,,125.9569,
0.05,0.85,1.0,1.0,134.05955,139.9517
0.05,0.85,-1.0,0.0,144.62515,
0.05,0.85,1.0,1.0,151.70985,152.54955
0.05,0.85,1.0,1.0,155.02455,157.0171
0.05,0.85,1.0,1.0,159.29295,160.89755
0.05,0.85,-1.0,0.0,164.5956,
0.05,0.85,1.0,1.0,167.8883,169.17235
0.05,0.85,-1.0,0.0,171.6447,
0.05,0.85,-1.0,0.0,176.3789,
0.05,0.85,-1.0,0.0,179.1282,
0.05,0.85,-1.0,1.0,187.6116,189.3548
0.05,0.85,1.0,1.0,191.82935,194.04795
0.05,0.85,1.0,1.0,196.4216,198.14285
0.05,0.85,-1.0,0.0,202.8947,
0.05,0.85,-1.0,0.0,209.5482,
0.05,0.85,1.0,1.0,214.2326,214.38805
0.05,0.85,-1.0,0.0,217.4114,
0.05,0.85,,,219.57465,
0.05,0.85,,,227.6786,
0.05,0.85,1.0,1.0,235.7792,236.00855
0.05,0.85,-1.0,0.0,238.38215,
0.05,0.85,1.0,1.0,247.52435,254.1713
0.05,0.85,-1.0,0.0,256.2457,
0.05,0.85,1.0,1.0,265.2004,265.40685
0.05,0.85,-1.0,0.0,270.25875,
0.05,0.85,1.0,1.0,273.087,273.58665
0.05,0.85,1.0,1.0,276.06185,277.5795
0.05,0.85,-1.0,0.0,281.64155,
0.05,0.85,-1.0,0.0,284.42945,
0.05,0.85,-1.0,0.0,288.08825,
0.05,0.85,-1.0,0.0,290.6855,
0.05,0.85,-1.0,0.0,293.4542,
0.05,0.85,-1.0,0.0,296.0988,
0.05,0.85,-1.0,0.0,298.39765,
0.05,0.85,-1.0,0.0,301.2426,
0.05,0.85,-1.0,1.0,303.73185,305.04725
0.05,0.85,1.0,1.0,307.5206,307.84535
0.05,0.85,-1.0,0.0,309.9194,
0.05,0.85,1.0,1.0,317.80335,321.36475
0.05,0.85,-1.0,0.0,326.19575,
0.05,0.85,-1.0,0.0,333.9294,
0.05,0.85,1.0,1.0,336.7627,338.78475
0.05,0.85,1.0,0.0,341.2651,
0.05,0.85,-1.0,0.0,344.0874,
0.05,0.85,1.0,0.0,348.8554,
0.05,0.85,-1.0,0.0,354.78495,
0.05,0.85,1.0,0.0,362.6913,
0.05,0.85,-1.0,0.0,368.90165,
0.05,0.85,1.0,1.0,374.17235,378.1655
0.05,0.85,1.0,0.0,380.53955,
0.05,0.85,-1.0,0.0,386.5279,
0.05,0.85,-1.0,0.0,388.9274,
0.05,0.85,-1.0,0.0,393.15145,
0.05,0.85,-1.0,0.0,396.31095,
0.05,0.85,-1.0,0.0,400.4801,
0.05,0.85,-1.0,0.0,405.2732,
0.05,0.85,1.0,1.0,407.7097,409.10085
