leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.85,0.05,,,14.21465,
0.85,0.05,1.0,0.0,25.6516,
0.85,0.05,-1.0,0.0,29.00545,
0.85,0.05,-1.0,1.0,32.43125,33.652
0.85,0.05,,,39.695,
0.85,0.05,1.0,0.0,47.79665,
0.85,0.05,1.0,0.0,53.04,
0.85,0.05,-1.0,1.0,57.9502,58.81475
0.85,0.05,-1.0,1.0,61.08895,66.3762
0.85,0.05,-1.0,1.0,68.7519,71.37835
0.85,0.05,-1.0,1.0,73.9203,80.6265
0.85,0.05,-1.0,1.0,82.6994,83.6668
0.85,0.05,,,85.94175,
0.85,0.05,1.0,0.0,95.14675,
0.85,0.05,-1.0,0.0,98.7092,
0.85,0.05,,,106.7874,
0.85,0.05,,,114.88835,
0.85,0.05,,,122.9913,
0.85,0.05,,,131.09605,
0.85,0.05,,,139.19805,
0.85,0.05,1.0,0.0,147.30165,
0.85,0.05,-1.0,1.0,150.95175,154.5624
0.85,0.05,,,158.6679,
0.85,0.05,,,166.7719,
0.85,0.05,,,174.87305,
0.85,0.05,,,182.97365,
0.85,0.05,,,191.07665,
0.85,0.05,1.0,0.0,200.8772,
0.85,0.05,-1.0,1.0,204.16425,208.06685
0.85,0.05,-1.0,0.0,210.74425,
0.85,0.05,1.0,0.0,223.75305,
0.85,0.05,-1.0,1.0,231.7783,237.8455
0.85,0.05,-1.0,1.0,239.9189,241.0059
0.85,0.05,1.0,0.0,247.6579,
0.85,0.05,1.0,0.0,250.61585,
0.85,0.05,1.0,0.0,254.33775,
0.85,0.05,1.0,1.0,257.0935,257.4445
0.85,0.05,-1.0,1.0,261.62195,261.9574
0.85,0.05,1.0,0.0,265.6823,
0.85,0.05,-1.0,1.0,270.36665,273.02145
0.85,0.05,-1.0,1.0,275.4944,275.6031
0.85,0.05,-1.0,1.0,279.40675,279.6048
0.85,0.05,-1.0,1.0,283.41755,283.71675
0.85,0.05,1.0,0.0,291.63415,
0.85,0.05,-1.0,1.0,296.86025,297.19125
0.85,0.05,-1.0,1.0,299.86355,300.1727
0.85,0.05,-1.0,0.0,304.0008,
0.85,0.05,1.0,0.0,306.8244,
0.85,0.05,-1.0,1.0,309.9798,310.3578
0.85,0.05,1.0,0.0,312.63165,
0.85,0.05,-1.0,0.0,315.56145,
0.85,0.05,1.0,0.0,319.3605,
0.85,0.05,-1.0,1.0,323.50405,324.8683
0.85,0.05,1.0,0.0,326.94525,
0.85,0.05,-1.0,1.0,329.7165,329.99365
0.85,0.05,1.0,0.0,332.36725,
0.85,0.05,-1.0,1.0,336.01795,336.24705
0.85,0.05,1.0,0.0,338.72155,
0.85,0.05,-1.0,1.0,343.6373,345.7749
0.85,0.05,1.0,0.0,348.04745,
0.85,0.05,-1.0,1.0,352.7128,353.1232
0.85,0.05,1.0,0.0,355.1995,
0.85,0.05,-1.0,0.0,358.4428,
0.85,0.05,1.0,1.0,362.1187,368.01285
0.85,0.05,1.0,0.0,370.0867,
0.85,0.05,1.0,0.0,374.1906,
0.85,0.05,1.0,0.0,378.71135,
0.85,0.05,-1.0,1.0,381.5453,381.6829
0.85,0.05,1.0,0.0,384.35765,
0.85,0.05,1.0,0.0,386.61945,
0.85,0.05,-1.0,1.0,395.25715,396.1259
0.85,0.05,1.0,0.0,398.6042,
0.85,0.05,-1.0,1.0,402.6802,403.0543
0.85,0.05,-1.0,1.0,405.42725,407.5307
0.85,0.05,1.0,0.0,412.1173,
0.85,0.05,1.0,0.0,415.45105,
0.85,0.05,-1.0,1.0,418.28535,420.33375
0.85,0.05,1.0,0.0,423.00755,
0.85,0.05,1.0,0.0,426.77635,
0.85,0.05,1.0,0.0,429.92985,
0.85,0.05,-1.0,1.0,436.2138,439.441
0.85,0.05,-1.0,1.0,441.51415,443.6501
0.85,0.05,1.0,0.0,445.92455,
0.85,0.05,-1.0,1.0,448.4927,450.465
0.85,0.05,1.0,0.0,452.53995,
0.85,0.05,-1.0,1.0,455.36195,457.85925
0.85,0.05,-1.0,1.0,460.33365,461.77125
0.85,0.05,-1.0,1.0,464.44585,465.97435
0.85,0.05,-1.0,1.0,468.35155,469.921
0.85,0.05,1.0,0.0,472.1959,
0.85,0.05,1.0,0.0,477.25875,
0.85,0.05,1.0,0.0,480.5528,
0.85,0.05,-1.0,0.0,486.5116,
0.85,0.05,,,493.6034,
0.85,0.05,-1.0,1.0,502.569,502.943
0.85,0.05,-1.0,1.0,507.1218,512.9071
0.85,0.05,-1.0,1.0,517.4199,517.58995
0.85,0.05,,,520.9447,
0.85,0.05,-1.0,1.0,529.04685,533.47525
0.85,0.05,-1.0,1.0,539.03875,541.7489
0.85,0.05,-1.0,1.0,544.74835,550.60595
0.85,0.05,-1.0,1.0,552.87935,554.121
0.85,0.05,-1.0,1.0,556.7958,557.3183
0.85,0.05,1.0,0.0,559.9395,
0.85,0.05,-1.0,1.0,562.42185,562.98575
0.05,0.9,-1.0,0.0,565.47025,
0.05,0.9,,,567.752,
0.05,0.9,-1.0,0.0,575.85705,
0.05,0.9,-1.0,1.0,583.1494,584.0834
0.05,0.9,1.0,1.0,586.35775,587.8108
0.05,0.9,-1.0,0.0,590.48865,
0.05,0.9,1.0,1.0,594.68285,598.54435
0.05,0.9,-1.0,0.0,600.81875,
0.05,0.9,-1.0,0.0,604.0181,
0.05,0.9,-1.0,0.0,607.2215,
0.05,0.9,1.0,1.0,616.8814,617.14125
0.05,0.9,1.0,1.0,619.55705,626.13625
0.05,0.9,-1.0,0.0,628.60955,
0.05,0.9,-1.0,0.0,632.02305,
0.05,0.9,1.0,1.0,637.55825,641.8795
0.05,0.9,1.0,0.0,643.95295,
0.05,0.9,-1.0,0.0,648.6003,
0.05,0.9,-1.0,0.0,652.74275,
0.05,0.9,1.0,1.0,655.6799,661.8741
0.05,0.9,-1.0,0.0,664.148,
0.05,0.9,-1.0,0.0,670.6942,
0.05,0.9,-1.0,0.0,675.5312,
0.05,0.9,-1.0,0.0,681.7083,
0.05,0.9,-1.0,0.0,684.53565,
0.05,0.9,-1.0,0.0,688.65845,
0.05,0.9,,,691.754,
0.05,0.9,1.0,1.0,699.8555,700.23645
0.05,0.9,1.0,1.0,702.31085,703.6946
0.05,0.9,1.0,1.0,708.7556,709.858
0.05,0.9,-1.0,0.0,712.2316,
0.05,0.9,1.0,1.0,716.2936,716.82165
